BNP.PA,FP.PA,MC.PA,ML.PA,SAN.PA
45.771400451660156,33.0,88.80000305175781,38.44670104980469,40.20000076293945
44.484901428222656,31.799999237060547,80.4000015258789,37.95389938354492,37.70000076293945
43.544700622558594,31.0,77.68000030517578,37.4901008605957,36.11000061035156
42.06019973754883,30.100000381469727,76.80000305175781,38.697898864746094,37.5
42.60449981689453,30.25,76.80000305175781,40.05059814453125,39.5
42.851898193359375,30.274999618530273,80.04000091552734,40.19559860229492,38.650001525878906
41.26850128173828,30.5,81.5999984741211,39.180999755859375,39.150001525878906
41.664398193359375,30.0,85.19999694824219,38.697898864746094,38.29999923706055
41.565399169921875,29.875,90.4000015258789,38.65919876098633,38.04999923706055
42.30759811401367,30.649999618530273,94.0,39.42259979248047,39.689998626708984
41.961299896240234,31.75,93.0,38.166500091552734,39.04999923706055
40.82320022583008,30.325000762939453,89.19999694824219,37.325801849365234,37.0
41.763301849365234,31.75,88.0,36.717098236083984,37.099998474121094
40.67470169067383,32.32500076293945,88.5999984741211,35.66389846801758,37.0099983215332
39.882999420166016,32.875,86.5999984741211,35.55759811401367,36.75
39.98189926147461,33.724998474121094,85.80000305175781,35.75090026855469,36.20000076293945
39.63560104370117,33.07500076293945,84.0,35.36439895629883,34.849998474121094
39.487098693847656,32.724998474121094,84.0,34.90060043334961,37.0
39.98189926147461,32.82500076293945,84.19999694824219,35.074501037597656,38.0
41.02109909057617,32.349998474121094,84.4000015258789,35.36439895629883,38.5
40.229400634765625,31.799999237060547,82.19999694824219,34.890899658203125,38.5
40.42729949951172,32.375,82.19999694824219,35.75090026855469,38.79999923706055
39.784000396728516,33.625,85.80000305175781,35.75090026855469,39.79999923706055
39.68510055541992,33.42499923706055,88.18000030517578,35.08420181274414,39.5
39.536598205566406,33.79999923706055,88.19999694824219,35.36439895629883,39.0
38.448001861572266,33.79999923706055,87.5,35.46099853515625,39.0
38.547000885009766,35.375,89.5999984741211,36.17599868774414,39.2400016784668
37.5078010559082,36.775001525878906,85.9800033569336,36.13740158081055,38.599998474121094
37.40890121459961,35.25,78.44000244140625,35.75090026855469,39.5
38.79439926147461,34.224998474121094,81.86000061035156,35.25809860229492,39.0
38.59640121459961,34.025001525878906,81.69999694824219,35.219398498535156,39.5
38.3489990234375,34.75,79.54000091552734,34.88119888305664,39.75
39.23970031738281,35.900001525878906,80.19999694824219,33.93429946899414,41.0
41.664398193359375,35.724998474121094,79.0,34.011600494384766,43.0
41.26850128173828,35.17499923706055,75.23999786376953,33.15169906616211,42.900001525878906
40.27880096435547,34.025001525878906,73.19999694824219,33.23860168457031,41.400001525878906
39.63560104370117,34.474998474121094,72.5,32.36899948120117,40.900001525878906
40.62519836425781,33.625,72.80000305175781,32.27239990234375,40.9900016784668
41.169498443603516,33.29999923706055,74.76000213623047,31.885900497436523,40.70000076293945
40.72420120239258,34.5,78.73999786376953,31.547700881958008,40.5
40.179901123046875,34.25,77.0199966430664,31.219200134277344,40.150001525878906
40.57569885253906,34.375,77.0999984741211,31.335100173950195,39.9900016784668
41.466400146484375,34.42499923706055,76.73999786376953,31.499399185180664,40.5
41.02109909057617,34.54999923706055,75.80000305175781,31.16119956970215,41.0
42.70349884033203,34.5,73.0,30.832700729370117,41.900001525878906
44.43539810180664,34.75,71.30000305175781,31.016300201416016,41.599998474121094
44.68280029296875,35.474998474121094,75.0,30.533199310302734,41.599998474121094
43.445701599121094,37.625,74.33999633789062,30.668399810791016,40.70000076293945
42.10969924926758,37.45000076293945,76.58000183105469,30.822999954223633,40.0
